battleLabel,date,date_precision,locationLabel,lat,lon,sultan,sultan_wikidata,part_ofLabel,wikidata_url
Fall of Gallipoli,1354-03-01,month,Gelibolu,40.4139,26.6703,Orhan,Q179282,Byzantine–Ottoman Wars,http://www.wikidata.org/entity/Q916266
Battle of Ihtiman,1355-01-01,year,Ihtiman,42.4400,23.8150,Orhan,Q179282,Bulgarian–Ottoman Wars,http://www.wikidata.org/entity/Q283984
Battle of Adrianópolis,1355-01-01,year,Edirne,41.6730,26.5736,Orhan,Q179282,,http://www.wikidata.org/entity/Q25433631
Naval Battle of Ognina,1356-01-01,year,Acireale,37.6125,15.1656,Orhan,Q179282,,http://www.wikidata.org/entity/Q3951347
Battle of Achelous,1359-01-01,year,Achelous River,38.3350,21.1042,Orhan,Q179282,Albanian-Epirote War of 1359,http://www.wikidata.org/entity/Q4870212
Battle of Megara,1359-01-01,year,Megara Gulf,37.9500,23.3333,Orhan,Q179282,Crusades after Acre of 1291–1399,http://www.wikidata.org/entity/Q28554166
Battle of Sırp Sındığı,1364-01-01,year,Maritsa,42.1648,23.5959,Murad Iᵉʳ,Q170056,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q4844238
Reconquest of Gallipoli,1366-01-01,year,Gallipoli,40.3500,26.4500,Murad Iᵉʳ,Q170056,Byzantine–Ottoman Wars,http://www.wikidata.org/entity/Q516507
Battle of Kosovo,1369-01-01,year,Zvečan,42.9100,20.8400,Murad Iᵉʳ,Q170056,Fall of the Serbian Empire,http://www.wikidata.org/entity/Q4871483
Battle of Maritsa,1371-09-26,day,Ormenio,41.7202,26.2127,Murad Iᵉʳ,Q170056,Serbian–Ottoman Wars,http://www.wikidata.org/entity/Q939570
Battle of Gardiki,1375-01-01,year,"Gardiki Castle, Arcadia",37.2629,22.0584,Murad Iᵉʳ,Q170056,Byzantine–Latin wars,http://www.wikidata.org/entity/Q30622039
Battle of Pločnik,1385-01-01,year,Pločnik,43.1978,21.3567,Murad Iᵉʳ,Q170056,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q612288
Battle of Savra,1385-09-26,day,Lushnjë,40.9333,19.7000,Murad Iᵉʳ,Q170056,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q2603935
Battle of Bileća,1388-09-03,day,Bileća,42.8667,18.4333,Murad Iᵉʳ,Q170056,Ottoman conquest of Bosnia and Herzegovina,http://www.wikidata.org/entity/Q700874
Battle of Kosovo,1389-07-06,day,Kosovo Field,42.7175,21.0850,Bayezid Iᵉʳ,Q170058,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q179288
Battle of Ascoli,1392-04-18,day,Ascoli Piceno,42.8547,13.5753,Bayezid Iᵉʳ,Q170058,,http://www.wikidata.org/entity/Q20875410
Battle of Argeș,1394-10-10,day,Argeș River,45.3647,24.6304,Bayezid Iᵉʳ,Q170058,,http://www.wikidata.org/entity/Q4871384
Battle of Nicopolis,1396-09-25,day,Nikopol,43.6986,24.8924,Bayezid Iᵉʳ,Q170058,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q212220
Battle of Akçay,1398-01-01,year,Akçay,39.5858,26.9239,Bayezid Iᵉʳ,Q170058,Ottoman Wars in Asia,http://www.wikidata.org/entity/Q115177789
Battle of Tripolje,1402-11-30,day,Gračanica monastery,42.5983,21.1933,Interrègne,,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q3395349
Battle of Kosmidion,1410-06-24,day,Eyüp,41.0800,28.9378,Interrègne,,Ottoman Interregnum,http://www.wikidata.org/entity/Q4871484
Battle of Çamurlu,1413-07-14,day,Samokov,42.3371,23.5554,Mehmed Iᵉʳ,Q170060,Ottoman Interregnum,http://www.wikidata.org/entity/Q4817327
Battle of Karaburun,1416-01-01,year,Karaburun district,38.6359,26.5097,Mehmed Iᵉʳ,Q170060,,http://www.wikidata.org/entity/Q137205376
Battle of Manisa,1416-01-01,year,Manisa,38.6119,27.4264,Mehmed Iᵉʳ,Q170060,,http://www.wikidata.org/entity/Q137380181
Battle of Thessalonica,1416-01-01,year,Thessaloniki,40.6403,22.9356,Mehmed Iᵉʳ,Q170060,,http://www.wikidata.org/entity/Q137393345
Battle of Gallipoli,1416-06-07,day,Gelibolu,40.4139,26.6703,Mehmed Iᵉʳ,Q170060,Ottoman–Venetian Wars,http://www.wikidata.org/entity/Q30600045
Battle of Radkersburg,1418-10-14,day,Bad Radkersburg,46.6897,15.9886,Mehmed Iᵉʳ,Q170060,,http://www.wikidata.org/entity/Q112166363
Battle of Ulubad,1422-01-01,year,Lake Uluabat,40.1726,28.5908,Murad II,Q170062,,http://www.wikidata.org/entity/Q137393467
Battle of Gallipoli,1422-01-01,year,Gallipoli,40.3500,26.4500,Murad II,Q170062,,http://www.wikidata.org/entity/Q137427251
Battle of İznik,1423-02-01,month,İznik,40.4289,29.7194,Murad II,Q170062,,http://www.wikidata.org/entity/Q137460687
Battle of Davia,1423-06-14,day,Morea,37.3497,22.3522,Murad II,Q170062,1423 Morea expedition,http://www.wikidata.org/entity/Q109393823
Battle of Gülnas,1425-01-01,year,Akhisar,38.9241,27.8402,Murad II,Q170062,Ottoman conquest of the Beylik of Aydin,http://www.wikidata.org/entity/Q109392680
Battle of the Echinades,1427-01-01,year,Echinades,38.3036,21.1108,Murad II,Q170062,Byzantine–Latin wars,http://www.wikidata.org/entity/Q2890722
Action of 1440,1440-01-01,year,Aegean Sea,38.5000,25.3000,Murad II,Q170062,,http://www.wikidata.org/entity/Q98526407
Siege of Belgrade,1440-04-01,month,Belgrade,44.8178,20.4569,Murad II,Q170062,Serbian–Ottoman Wars,http://www.wikidata.org/entity/Q12756567
Battle of Hermannstadt,1442-03-18,day,Sântimbru,46.1218,23.6657,Murad II,Q170062,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q1711538
Battle of Hermannstadt,1442-03-31,day,Sântimbru,46.1218,23.6657,Murad II,Q170062,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q1711538
Battle of Sântimbru (March 27),1442-03-27,day,Sântimbru,46.1218,23.6657,Murad II,Q170062,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q115732142
Battle of Zajkány,1442-09-15,day,Iron Gate of Transylvania Pass,45.5071,22.6741,Murad II,Q170062,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q103710623
Battle of Niš,1443-11-01,month,Niš,43.3192,21.8961,Murad II,Q170062,Crusade of Varna,http://www.wikidata.org/entity/Q3339470
Liberation of Krujë,1443-12-07,day,Krujë,41.5108,19.7925,Murad II,Q170062,Skanderbeg's Albanian campaign,http://www.wikidata.org/entity/Q131583820
Battle of Zlatica,1443-12-21,day,Zlatitsa,42.7134,24.1391,Murad II,Q170062,Crusade of Varna,http://www.wikidata.org/entity/Q18639123
Battle of Kunovica,1444-01-14,day,Kunovica,43.3000,22.0967,Murad II,Q170062,Crusade of Varna,http://www.wikidata.org/entity/Q12754327
Battle of Torvioll,1444-07-08,day,Plain of Torvioll,41.7667,20.3667,Murad II,Q170062,Skanderbeg's Albanian campaign,http://www.wikidata.org/entity/Q1934137
Battle of Varna,1444-11-10,day,Varna,43.2114,27.9111,Mehmed II,Q45659,Crusade of Varna,http://www.wikidata.org/entity/Q32832
Battle of Mokra,1445-10-19,day,Jakupica,41.7042,21.4053,Mehmed II,Q45659,Skanderbeg's Albanian campaign,http://www.wikidata.org/entity/Q3300868
Battle of Otonetë,1446-10-06,day,Debar,41.5250,20.5272,Murad II,Q170062,Skanderbeg's Albanian campaign,http://www.wikidata.org/entity/Q3302743
Battle of Oranik,1448-08-23,day,Debar,41.5250,20.5272,Murad II,Q170062,Albanian–Venetian War,http://www.wikidata.org/entity/Q3301210
Battle of Kosovo,1448-10-26,day,Kosovo Polje,42.6383,21.0975,Murad II,Q170062,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q698706
Fall of Constantinople,1453-04-15,day,Constantinople,41.0125,28.9800,Mehmed II,Q45659,Byzantine–Ottoman Wars,http://www.wikidata.org/entity/Q160077
Battle of the Bosphorus,1453-04-20,day,Bosporus Strait,41.1200,29.0800,Mehmed II,Q45659,Fall of Constantinople,http://www.wikidata.org/entity/Q2890732
Battle of Pollog,1453-04-22,day,Polog,41.9580,20.9649,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q3304647
Battle of Kruševac,1454-10-02,day,Kruševac,43.5833,21.3267,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q3395325
Battle of Oranik,1456-05-27,day,Debar,41.5250,20.5272,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q3298782
Siege of Belgrade,1456-07-13,day,Belgrade,44.8178,20.4569,Mehmed II,Q45659,Serbian–Ottoman Wars,http://www.wikidata.org/entity/Q244980
Battle of Orbic,1457-01-01,year,Romania,46.0000,25.0000,Mehmed II,Q45659,,http://www.wikidata.org/entity/Q4870887
Battle of Albulena,1457-09-11,day,Laç,41.6353,19.7131,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q74072
Siege of Corinth,1458-05-24,day,Corinth,37.9386,22.9272,Mehmed II,Q45659,Ottoman conquest of the Morea,http://www.wikidata.org/entity/Q135522442
Battle of the Sarno,1460-07-16,day,Longola,40.7951,14.5750,Mehmed II,Q45659,,http://www.wikidata.org/entity/Q25203614
Battle of Tordino,1460-07-31,day,Giulianova,42.7525,13.9567,Mehmed II,Q45659,conspiracy of the Barons,http://www.wikidata.org/entity/Q47162751
Battle of Baziaș,1460-11-17,day,Baziaș,44.8159,21.3905,Mehmed II,Q45659,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q134172224
Battle of Buzău,1462-01-01,year,Buzău,45.1517,26.8167,Mehmed II,Q45659,Ottoman–Wallachian wars,http://www.wikidata.org/entity/Q138303833
Battle of Turnu,1462-01-01,year,Turnu Măgurele,43.7517,24.8708,Mehmed II,Q45659,Ottoman–Wallachian wars,http://www.wikidata.org/entity/Q138545197
Night attack at Târgoviște,1462-06-26,day,Târgoviște,44.9244,25.4572,Mehmed II,Q45659,Ottoman–Wallachian wars,http://www.wikidata.org/entity/Q2022139
Battle of Cesano,1462-08-21,day,Cesano,43.7505,13.1723,Mehmed II,Q45659,Italian Renaissance,http://www.wikidata.org/entity/Q109301504
Battle of Troia,1462-08-27,day,Troia,41.3667,15.3000,Mehmed II,Q45659,conspiracy of the Barons,http://www.wikidata.org/entity/Q85859822
Battle of Kljuc,1463-01-01,year,Ključ,44.5333,16.7667,Mehmed II,Q45659,Ottoman conquest of Bosnia and Herzegovina,http://www.wikidata.org/entity/Q121283166
Battle of Zvornik,1464-01-01,year,Zvornik,44.3833,19.1000,Mehmed II,Q45659,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q120176387
Battle of Mystras,1464-08-01,month,Mystras,37.0740,22.3673,Mehmed II,Q45659,First Ottoman–Venetian War,http://www.wikidata.org/entity/Q137360136
Battle of Ohrid,1464-09-23,day,Ohrid,41.1169,20.8019,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q3338499
Battle of Meçad,1465-01-01,year,Debar,41.5250,20.5272,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q4871725
Battle of Vaikal,1465-04-10,day,Ohrid,41.1169,20.8019,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q4872638
Battle of Patras,1466-08-01,month,Patras,38.2500,21.7333,Mehmed II,Q45659,First Ottoman–Venetian War,http://www.wikidata.org/entity/Q119167274
Battle of Patras,1466-08-24,day,Patras,38.2500,21.7333,Mehmed II,Q45659,First Ottoman–Venetian War,http://www.wikidata.org/entity/Q118929878
Battle of Baia,1467-12-15,day,Baia,47.4203,26.2169,Mehmed II,Q45659,,http://www.wikidata.org/entity/Q2510875
Battle of Vaslui,1475-01-10,day,Vaslui,46.6383,27.7292,Mehmed II,Q45659,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q1073358
Battle of Valea Albă,1476-07-26,day,Războieni,47.0783,26.5603,Mehmed II,Q45659,Moldavian–Ottoman Wars,http://www.wikidata.org/entity/Q2533670
Battle of Isonzo,1477-10-01,month,Soča,45.7247,13.5561,Mehmed II,Q45659,First Ottoman–Venetian War,http://www.wikidata.org/entity/Q127592395
Battle of Lucinico,1477-11-09,day,Lucinico,45.9333,13.5667,Mehmed II,Q45659,First Ottoman–Venetian War,http://www.wikidata.org/entity/Q118929868
Battle of Breadfield,1479-10-22,day,Breadfield,45.9283,23.3289,Mehmed II,Q45659,Ottoman–Hungarian Wars,http://www.wikidata.org/entity/Q690291
Ottoman invasion of Otranto,1480-07-01,month,Otranto,40.1478,18.4859,Mehmed II,Q45659,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q695198
Ottoman invasion of Otranto,1481-09-01,month,Otranto,40.1478,18.4859,Bayezid II,Q170068,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q695198
Battle of Una,1483-11-07,day,Novi Grad,45.0464,16.3778,Bayezid II,Q170068,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q18162714
Battle of Cătlăbuga,1485-11-25,day,Kiliia,45.4408,29.2651,Bayezid II,Q170068,Moldavian–Ottoman Wars,http://www.wikidata.org/entity/Q2435832
Battle of Bonefield,1490-07-13,day,Kölesd,46.5103,18.5904,Bayezid II,Q170068,,http://www.wikidata.org/entity/Q125394961
Battle of Villach,1492-01-01,year,Villach,46.6167,13.8333,Bayezid II,Q170068,,http://www.wikidata.org/entity/Q108910776
Battle of Krbava Field,1493-09-09,day,Krbavsko Plain,44.6059,15.7017,Bayezid II,Q170068,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q694379
Battle of Seminara,1495-07-07,day,Seminara,38.3333,15.8667,Bayezid II,Q170068,Italian War of 1494–1495,http://www.wikidata.org/entity/Q2670926
Battle of Karpathos,1498-07-01,month,Karpathos,35.5833,27.1333,Bayezid II,Q170068,,http://www.wikidata.org/entity/Q118946809
Battle of Zonchio,1499-09-03,day,Pylos,36.9139,21.6964,Bayezid II,Q170068,Second Ottoman–Venetian War,http://www.wikidata.org/entity/Q2351714
Battle of Modon,1500-08-03,day,Methoni,36.8217,21.7069,Bayezid II,Q170068,Second Ottoman–Venetian War,http://www.wikidata.org/entity/Q2597432
Fall of Navarino,1501-06-07,day,Pylos,36.9139,21.6964,Bayezid II,Q170068,Second Ottoman–Venetian War,http://www.wikidata.org/entity/Q137662207
Fall of Durrës,1501-08-27,day,Durrës,41.3133,19.4458,Bayezid II,Q170068,Second Ottoman–Venetian War,http://www.wikidata.org/entity/Q137662208
Battle of Ruvo,1503-02-23,day,Ruvo di Puglia,41.1173,16.4837,Bayezid II,Q170068,Second War of Naples,http://www.wikidata.org/entity/Q2072513
Battle of Cerignola,1503-05-08,day,Cerignola,41.2667,15.9000,Bayezid II,Q170068,Second War of Naples,http://www.wikidata.org/entity/Q2264459
Battle of Garigliano,1504-01-08,day,Gaeta,41.2167,13.5667,Bayezid II,Q170068,Italian Wars of 1499–1504,http://www.wikidata.org/entity/Q1443091
Battle of Yenişehir,1513-05-04,day,Yenişehir,40.2644,29.6531,Selim Iᵉʳ,Q170071,Ottoman Civil War of 1509–13,http://www.wikidata.org/entity/Q85976551
Battle of Dubica,1513-08-16,day,Hrvatska Dubica,45.1893,16.7985,Selim Iᵉʳ,Q170071,Ottoman Wars in Europe,http://www.wikidata.org/entity/Q18712913
Battle of Jajce,1518-01-01,year,Jajce,44.3403,17.2572,Selim Iᵉʳ,Q170071,,http://www.wikidata.org/entity/Q60789146
